URL checker started: base=https://api.crm.luminartechnolab.com, concurrency=10, timeout=5000ms
[2] https://api.crm.luminartechnolab.com/css -> 404 NOTFOUND/CLIENT (802ms)
[1] https://api.crm.luminartechnolab.com/images -> 404 NOTFOUND/CLIENT (1293ms)
[4] https://api.crm.luminartechnolab.com/js -> 404 NOTFOUND/CLIENT (899ms)
[3] https://api.crm.luminartechnolab.com/LC_MESSAGES -> 404 NOTFOUND/CLIENT (999ms)
[6] https://api.crm.luminartechnolab.com/tmpl -> 404 NOTFOUND/CLIENT (998ms)
[7] https://api.crm.luminartechnolab.com/lang -> 404 NOTFOUND/CLIENT (999ms)
[9] https://api.crm.luminartechnolab.com/README -> 404 NOTFOUND/CLIENT (1092ms)
[10] https://api.crm.luminartechnolab.com/templates -> 404 NOTFOUND/CLIENT (1095ms)
[8] https://api.crm.luminartechnolab.com/default -> 404 NOTFOUND/CLIENT (1193ms)
[5] https://api.crm.luminartechnolab.com/api -> 200 OK (1198ms)
[12] https://api.crm.luminartechnolab.com/config -> 404 NOTFOUND/CLIENT (219ms)
[11] https://api.crm.luminartechnolab.com/langs -> 404 NOTFOUND/CLIENT (248ms)
[13] https://api.crm.luminartechnolab.com/GNUmakefile -> 404 NOTFOUND/CLIENT (249ms)
[14] https://api.crm.luminartechnolab.com/themes -> 404 NOTFOUND/CLIENT (300ms)
[16] https://api.crm.luminartechnolab.com/img -> 404 NOTFOUND/CLIENT (301ms)
[17] https://api.crm.luminartechnolab.com/admin -> 404 NOTFOUND/CLIENT (303ms)
[19] https://api.crm.luminartechnolab.com/plugins -> 404 NOTFOUND/CLIENT (303ms)
[20] https://api.crm.luminartechnolab.com/show -> 404 NOTFOUND/CLIENT (303ms)
[18] https://api.crm.luminartechnolab.com/user -> 404 NOTFOUND/CLIENT (304ms)
[15] https://api.crm.luminartechnolab.com/en -> 404 NOTFOUND/CLIENT (401ms)
[22] https://api.crm.luminartechnolab.com/exec -> 404 NOTFOUND/CLIENT (219ms)
[21] https://api.crm.luminartechnolab.com/level -> 404 NOTFOUND/CLIENT (221ms)
[23] https://api.crm.luminartechnolab.com/po -> 404 NOTFOUND/CLIENT (222ms)
[24] https://api.crm.luminartechnolab.com/icons -> 404 NOTFOUND/CLIENT (267ms)
[26] https://api.crm.luminartechnolab.com/includes -> 404 NOTFOUND/CLIENT (220ms)
[29] https://api.crm.luminartechnolab.com/language -> 404 NOTFOUND/CLIENT (220ms)
[30] https://api.crm.luminartechnolab.com/MANIFEST -> 404 NOTFOUND/CLIENT (220ms)
[27] https://api.crm.luminartechnolab.com/_notes -> 404 NOTFOUND/CLIENT (222ms)
[28] https://api.crm.luminartechnolab.com/system -> 404 NOTFOUND/CLIENT (222ms)
[25] https://api.crm.luminartechnolab.com/classes -> 404 NOTFOUND/CLIENT (225ms)
[32] https://api.crm.luminartechnolab.com/error_log -> 404 NOTFOUND/CLIENT (219ms)
[31] https://api.crm.luminartechnolab.com/modules -> 404 NOTFOUND/CLIENT (221ms)
[33] https://api.crm.luminartechnolab.com/views -> 404 NOTFOUND/CLIENT (224ms)
[34] https://api.crm.luminartechnolab.com/backup -> 404 NOTFOUND/CLIENT (220ms)
[36] https://api.crm.luminartechnolab.com/lib -> 404 NOTFOUND/CLIENT (219ms)
[37] https://api.crm.luminartechnolab.com/faqweb -> 404 NOTFOUND/CLIENT (220ms)
[40] https://api.crm.luminartechnolab.com/skins -> 404 NOTFOUND/CLIENT (220ms)
[39] https://api.crm.luminartechnolab.com/system32 -> 404 NOTFOUND/CLIENT (220ms)
[38] https://api.crm.luminartechnolab.com/articleweb -> 404 NOTFOUND/CLIENT (222ms)
[35] https://api.crm.luminartechnolab.com/db -> 404 NOTFOUND/CLIENT (225ms)
[42] https://api.crm.luminartechnolab.com/models -> 404 NOTFOUND/CLIENT (219ms)
[41] https://api.crm.luminartechnolab.com/_vti_cnf -> 404 NOTFOUND/CLIENT (221ms)
[43] https://api.crm.luminartechnolab.com/news -> 404 NOTFOUND/CLIENT (222ms)
[44] https://api.crm.luminartechnolab.com/cache -> 404 NOTFOUND/CLIENT (220ms)
[46] https://api.crm.luminartechnolab.com/main -> 404 NOTFOUND/CLIENT (220ms)
[49] https://api.crm.luminartechnolab.com/update -> 404 NOTFOUND/CLIENT (220ms)
[47] https://api.crm.luminartechnolab.com/html -> 404 NOTFOUND/CLIENT (221ms)
[48] https://api.crm.luminartechnolab.com/faq -> 404 NOTFOUND/CLIENT (221ms)
[50] https://api.crm.luminartechnolab.com/extensions -> 404 NOTFOUND/CLIENT (221ms)
[45] https://api.crm.luminartechnolab.com/CVS -> 404 NOTFOUND/CLIENT (224ms)
[52] https://api.crm.luminartechnolab.com/Packages -> 404 NOTFOUND/CLIENT (219ms)
[51] https://api.crm.luminartechnolab.com/jscripts -> 404 NOTFOUND/CLIENT (221ms)
[53] https://api.crm.luminartechnolab.com/languages -> 404 NOTFOUND/CLIENT (221ms)
[54] https://api.crm.luminartechnolab.com/features -> 404 NOTFOUND/CLIENT (221ms)
