URL checker started: base=https://api.crm.luminartechnolab.com/api, concurrency=10, timeout=5000ms
[1] https://api.crm.luminartechnolab.com/api/images -> 404 NOTFOUND/CLIENT (213ms)
[6] https://api.crm.luminartechnolab.com/api/tmpl -> 404 NOTFOUND/CLIENT (141ms)
[2] https://api.crm.luminartechnolab.com/api/css -> 404 NOTFOUND/CLIENT (149ms)
[8] https://api.crm.luminartechnolab.com/api/default -> 404 NOTFOUND/CLIENT (141ms)
[5] https://api.crm.luminartechnolab.com/api/api -> 404 NOTFOUND/CLIENT (148ms)
[4] https://api.crm.luminartechnolab.com/api/js -> 404 NOTFOUND/CLIENT (155ms)
[7] https://api.crm.luminartechnolab.com/api/lang -> 404 NOTFOUND/CLIENT (152ms)
[10] https://api.crm.luminartechnolab.com/api/templates -> 404 NOTFOUND/CLIENT (153ms)
[9] https://api.crm.luminartechnolab.com/api/README -> 404 NOTFOUND/CLIENT (157ms)
[3] https://api.crm.luminartechnolab.com/api/LC_MESSAGES -> 404 NOTFOUND/CLIENT (170ms)
[11] https://api.crm.luminartechnolab.com/api/langs -> 404 NOTFOUND/CLIENT (41ms)
[12] https://api.crm.luminartechnolab.com/api/config -> 404 NOTFOUND/CLIENT (41ms)
[16] https://api.crm.luminartechnolab.com/api/img -> 404 NOTFOUND/CLIENT (43ms)
[15] https://api.crm.luminartechnolab.com/api/en -> 404 NOTFOUND/CLIENT (43ms)
[14] https://api.crm.luminartechnolab.com/api/themes -> 404 NOTFOUND/CLIENT (46ms)
[17] https://api.crm.luminartechnolab.com/api/admin -> 404 NOTFOUND/CLIENT (46ms)
[13] https://api.crm.luminartechnolab.com/api/GNUmakefile -> 404 NOTFOUND/CLIENT (47ms)
[18] https://api.crm.luminartechnolab.com/api/user -> 401 NOTFOUND/CLIENT (43ms)
[20] https://api.crm.luminartechnolab.com/api/show -> 404 NOTFOUND/CLIENT (45ms)
[19] https://api.crm.luminartechnolab.com/api/plugins -> 404 NOTFOUND/CLIENT (46ms)
[21] https://api.crm.luminartechnolab.com/api/level -> 404 NOTFOUND/CLIENT (43ms)
[22] https://api.crm.luminartechnolab.com/api/exec -> 404 NOTFOUND/CLIENT (44ms)
[24] https://api.crm.luminartechnolab.com/api/icons -> 404 NOTFOUND/CLIENT (46ms)
[23] https://api.crm.luminartechnolab.com/api/po -> 404 NOTFOUND/CLIENT (47ms)
[26] https://api.crm.luminartechnolab.com/api/includes -> 404 NOTFOUND/CLIENT (42ms)
[28] https://api.crm.luminartechnolab.com/api/system -> 404 NOTFOUND/CLIENT (42ms)
[25] https://api.crm.luminartechnolab.com/api/classes -> 404 NOTFOUND/CLIENT (44ms)
[27] https://api.crm.luminartechnolab.com/api/_notes -> 404 NOTFOUND/CLIENT (44ms)
[30] https://api.crm.luminartechnolab.com/api/MANIFEST -> 404 NOTFOUND/CLIENT (47ms)
[29] https://api.crm.luminartechnolab.com/api/language -> 404 NOTFOUND/CLIENT (48ms)
[31] https://api.crm.luminartechnolab.com/api/modules -> 401 NOTFOUND/CLIENT (42ms)
[32] https://api.crm.luminartechnolab.com/api/error_log -> 404 NOTFOUND/CLIENT (42ms)
[34] https://api.crm.luminartechnolab.com/api/backup -> 404 NOTFOUND/CLIENT (46ms)
[33] https://api.crm.luminartechnolab.com/api/views -> 404 NOTFOUND/CLIENT (47ms)
[38] https://api.crm.luminartechnolab.com/api/articleweb -> 404 NOTFOUND/CLIENT (44ms)
[36] https://api.crm.luminartechnolab.com/api/lib -> 404 NOTFOUND/CLIENT (46ms)
[35] https://api.crm.luminartechnolab.com/api/db -> 404 NOTFOUND/CLIENT (46ms)
[37] https://api.crm.luminartechnolab.com/api/faqweb -> 404 NOTFOUND/CLIENT (46ms)
[40] https://api.crm.luminartechnolab.com/api/skins -> 404 NOTFOUND/CLIENT (45ms)
[39] https://api.crm.luminartechnolab.com/api/system32 -> 404 NOTFOUND/CLIENT (48ms)
[41] https://api.crm.luminartechnolab.com/api/_vti_cnf -> 404 NOTFOUND/CLIENT (42ms)
[42] https://api.crm.luminartechnolab.com/api/models -> 404 NOTFOUND/CLIENT (43ms)
[44] https://api.crm.luminartechnolab.com/api/cache -> 404 NOTFOUND/CLIENT (46ms)
[43] https://api.crm.luminartechnolab.com/api/news -> 404 NOTFOUND/CLIENT (47ms)
[48] https://api.crm.luminartechnolab.com/api/faq -> 404 NOTFOUND/CLIENT (41ms)
[46] https://api.crm.luminartechnolab.com/api/main -> 404 NOTFOUND/CLIENT (42ms)
[45] https://api.crm.luminartechnolab.com/api/CVS -> 404 NOTFOUND/CLIENT (44ms)
[47] https://api.crm.luminartechnolab.com/api/html -> 404 NOTFOUND/CLIENT (45ms)
[49] https://api.crm.luminartechnolab.com/api/update -> 404 NOTFOUND/CLIENT (42ms)
[50] https://api.crm.luminartechnolab.com/api/extensions -> 404 NOTFOUND/CLIENT (45ms)
[51] https://api.crm.luminartechnolab.com/api/jscripts -> 404 NOTFOUND/CLIENT (42ms)
[52] https://api.crm.luminartechnolab.com/api/Packages -> 404 NOTFOUND/CLIENT (43ms)
[54] https://api.crm.luminartechnolab.com/api/features -> 404 NOTFOUND/CLIENT (45ms)
[53] https://api.crm.luminartechnolab.com/api/languages -> 404 NOTFOUND/CLIENT (47ms)
[58] https://api.crm.luminartechnolab.com/api/thumbs -> 404 NOTFOUND/CLIENT (43ms)
[56] https://api.crm.luminartechnolab.com/api/categoryblog -> 404 NOTFOUND/CLIENT (45ms)
[55] https://api.crm.luminartechnolab.com/api/pix -> 404 NOTFOUND/CLIENT (45ms)
[60] https://api.crm.luminartechnolab.com/api/php -> 404 NOTFOUND/CLIENT (45ms)
[57] https://api.crm.luminartechnolab.com/api/docs -> 404 NOTFOUND/CLIENT (46ms)
[59] https://api.crm.luminartechnolab.com/api/test -> 200 OK (48ms)
[61] https://api.crm.luminartechnolab.com/api/assets -> 404 NOTFOUND/CLIENT (40ms)
[62] https://api.crm.luminartechnolab.com/api/sp2qfe -> 404 NOTFOUND/CLIENT (42ms)
[64] https://api.crm.luminartechnolab.com/api/sp2gdr -> 404 NOTFOUND/CLIENT (45ms)
[63] https://api.crm.luminartechnolab.com/api/data -> 404 NOTFOUND/CLIENT (46ms)
[68] https://api.crm.luminartechnolab.com/api/Extension -> 404 NOTFOUND/CLIENT (41ms)
[66] https://api.crm.luminartechnolab.com/api/scripts -> 404 NOTFOUND/CLIENT (42ms)
[65] https://api.crm.luminartechnolab.com/api/include -> 404 NOTFOUND/CLIENT (44ms)
[67] https://api.crm.luminartechnolab.com/api/helpers -> 404 NOTFOUND/CLIENT (44ms)
[70] https://api.crm.luminartechnolab.com/api/_vti_bin -> 404 NOTFOUND/CLIENT (45ms)
[69] https://api.crm.luminartechnolab.com/api/media -> 404 NOTFOUND/CLIENT (47ms)
[71] https://api.crm.luminartechnolab.com/api/webalizer -> 404 NOTFOUND/CLIENT (42ms)
[72] https://api.crm.luminartechnolab.com/api/common -> 404 NOTFOUND/CLIENT (44ms)
[74] https://api.crm.luminartechnolab.com/api/search -> 404 NOTFOUND/CLIENT (44ms)
[73] https://api.crm.luminartechnolab.com/api/logs -> 404 NOTFOUND/CLIENT (45ms)
[75] https://api.crm.luminartechnolab.com/api/customer -> 404 NOTFOUND/CLIENT (41ms)
[77] https://api.crm.luminartechnolab.com/api/src -> 404 NOTFOUND/CLIENT (41ms)
[76] https://api.crm.luminartechnolab.com/api/dialogs -> 404 NOTFOUND/CLIENT (42ms)
[79] https://api.crm.luminartechnolab.com/api/INSTALL -> 404 NOTFOUND/CLIENT (42ms)
[78] https://api.crm.luminartechnolab.com/api/cfdocs -> 404 NOTFOUND/CLIENT (44ms)
[80] https://api.crm.luminartechnolab.com/api/winnt -> 404 NOTFOUND/CLIENT (45ms)
[81] https://api.crm.luminartechnolab.com/api/rvtheme_admin -> 404 NOTFOUND/CLIENT (42ms)
[82] https://api.crm.luminartechnolab.com/api/rvtheme -> 404 NOTFOUND/CLIENT (41ms)
[88] https://api.crm.luminartechnolab.com/api/treeNav -> 404 NOTFOUND/CLIENT (42ms)
[86] https://api.crm.luminartechnolab.com/api/Entries -> 404 NOTFOUND/CLIENT (43ms)
[85] https://api.crm.luminartechnolab.com/api/LICENSE -> 404 NOTFOUND/CLIENT (44ms)
[87] https://api.crm.luminartechnolab.com/api/10 -> 404 NOTFOUND/CLIENT (44ms)
[84] https://api.crm.luminartechnolab.com/api/default1 -> 404 NOTFOUND/CLIENT (46ms)
[83] https://api.crm.luminartechnolab.com/api/default_admin -> 404 NOTFOUND/CLIENT (50ms)
[89] https://api.crm.luminartechnolab.com/api/locale -> 404 NOTFOUND/CLIENT (48ms)
[90] https://api.crm.luminartechnolab.com/api/internals -> 404 NOTFOUND/CLIENT (49ms)
[91] https://api.crm.luminartechnolab.com/api/style -> 404 NOTFOUND/CLIENT (42ms)
[92] https://api.crm.luminartechnolab.com/api/Root -> 404 NOTFOUND/CLIENT (44ms)
[93] https://api.crm.luminartechnolab.com/api/Repository -> 404 NOTFOUND/CLIENT (40ms)
[97] https://api.crm.luminartechnolab.com/api/template -> 401 NOTFOUND/CLIENT (42ms)
[99] https://api.crm.luminartechnolab.com/api/COPYING -> 404 NOTFOUND/CLIENT (41ms)
[96] https://api.crm.luminartechnolab.com/api/defaultColorConf -> 404 NOTFOUND/CLIENT (43ms)
[98] https://api.crm.luminartechnolab.com/api/authweb -> 404 NOTFOUND/CLIENT (42ms)
[95] https://api.crm.luminartechnolab.com/api/flags -> 404 NOTFOUND/CLIENT (44ms)
[94] https://api.crm.luminartechnolab.com/api/imapd -> 404 NOTFOUND/CLIENT (46ms)
[100] https://api.crm.luminartechnolab.com/api/de_DE -> 404 NOTFOUND/CLIENT (45ms)
[101] https://api.crm.luminartechnolab.com/api/english -> 404 NOTFOUND/CLIENT (41ms)
[102] https://api.crm.luminartechnolab.com/api/fr_FR -> 404 NOTFOUND/CLIENT (41ms)
[108] https://api.crm.luminartechnolab.com/api/blocks -> 404 NOTFOUND/CLIENT (43ms)
[106] https://api.crm.luminartechnolab.com/api/source -> 404 NOTFOUND/CLIENT (44ms)
[105] https://api.crm.luminartechnolab.com/api/sql -> 404 NOTFOUND/CLIENT (44ms)
[107] https://api.crm.luminartechnolab.com/api/doc -> 404 NOTFOUND/CLIENT (46ms)
[110] https://api.crm.luminartechnolab.com/api/maint -> 404 NOTFOUND/CLIENT (45ms)
[103] https://api.crm.luminartechnolab.com/api/asp -> 404 NOTFOUND/CLIENT (48ms)
[104] https://api.crm.luminartechnolab.com/api/tmp -> 404 NOTFOUND/CLIENT (48ms)
[109] https://api.crm.luminartechnolab.com/api/backgrounds -> 404 NOTFOUND/CLIENT (47ms)
[111] https://api.crm.luminartechnolab.com/api/help -> 404 NOTFOUND/CLIENT (41ms)
[112] https://api.crm.luminartechnolab.com/api/nl_NL -> 404 NOTFOUND/CLIENT (41ms)
[116] https://api.crm.luminartechnolab.com/api/Makefile -> 404 NOTFOUND/CLIENT (41ms)
[118] https://api.crm.luminartechnolab.com/api/toolbar -> 404 NOTFOUND/CLIENT (42ms)
[115] https://api.crm.luminartechnolab.com/api/category -> 404 NOTFOUND/CLIENT (43ms)
[117] https://api.crm.luminartechnolab.com/api/styles -> 404 NOTFOUND/CLIENT (44ms)
[114] https://api.crm.luminartechnolab.com/api/version -> 404 NOTFOUND/CLIENT (46ms)
[113] https://api.crm.luminartechnolab.com/api/administrator -> 404 NOTFOUND/CLIENT (46ms)
[120] https://api.crm.luminartechnolab.com/api/iissamples -> 404 NOTFOUND/CLIENT (45ms)
[119] https://api.crm.luminartechnolab.com/api/ra -> 404 NOTFOUND/CLIENT (46ms)
[121] https://api.crm.luminartechnolab.com/api/files -> 404 NOTFOUND/CLIENT (41ms)
[122] https://api.crm.luminartechnolab.com/api/PDF -> 404 NOTFOUND/CLIENT (43ms)
